id,domain,domain_description,sql_complexity,sql_complexity_description,sql_task_type,sql_task_type_description,sql_prompt,sql_context,sql,sql_explanation
5555,charitable organizations,"Financial data, program impact, donor demographics, and volunteer management.",window functions,"window functions (e.g., ROW_NUMBER, LEAD, LAG, RANk, NTILE, PERCENT_RANK, etc.) with partitioning and ordering",analytics and reporting,"generating reports, dashboards, and analytical insights",Which programs had the highest and lowest total expenses in H1 2021?,"CREATE TABLE programs (program_id INT, program_name TEXT, program_expenses FLOAT, program_date DATE); INSERT INTO programs (program_id, program_name, program_expenses, program_date) VALUES (1, 'Education', 8000, '2021-01-01'); INSERT INTO programs (program_id, program_name, program_expenses, program_date) VALUES (2, 'Health', 5000, '2021-03-01');","SELECT program_name, program_expenses FROM (SELECT program_name, program_expenses, ROW_NUMBER() OVER (ORDER BY program_expenses DESC) AS high_expense, ROW_NUMBER() OVER (ORDER BY program_expenses ASC) AS low_expense FROM programs WHERE EXTRACT(YEAR FROM program_date) = 2021 AND EXTRACT(MONTH FROM program_date) BETWEEN 1 AND 6) AS subquery WHERE high_expense = 1 OR low_expense = 1;","This query filters programs in H1 2021 (January to June), identifies the programs with the highest and lowest expenses, and returns their program_name and program_expenses."
5556,healthcare,"Healthcare data on mental health parity, cultural competency, health equity metrics, and community health workers.",basic SQL,basic SQL with a simple select statement,data manipulation,"inserting, updating, or deleting records",Delete health equity metrics for Arizona in 2019,"CREATE TABLE health_equity_metrics (state VARCHAR(2), year INT, accessibility FLOAT, affordability FLOAT);",DELETE FROM health_equity_metrics WHERE state = 'AZ' AND year = 2019;,This query removes health equity metrics for Arizona in 2019 from the health_equity_metrics table.
5557,gaming industry,"Player analytics, game performance metrics, eSports data, and virtual reality trends.",window functions,"window functions (e.g., ROW_NUMBER, LEAD, LAG, RANk, NTILE, PERCENT_RANK, etc.) with partitioning and ordering",analytics and reporting,"generating reports, dashboards, and analytical insights","What is the average playtime for each game in the ""Simulation"" category?","CREATE TABLE GameStats (GameID int, GameName varchar(50), Category varchar(50), Playtime decimal(10,2));","SELECT Category, AVG(Playtime) OVER(PARTITION BY Category) as AvgPlaytime FROM GameStats;","The SQL query uses the AVG window function to calculate the average playtime for each game in the ""Simulation"" category. The PARTITION BY clause is used to partition the data by the Category column, and the OVER clause is used to specify the window over which the function is applied."
5558,journalism,"News reporting data, audience demographics, media ethics information, and investigative journalism projects.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average age of all users who liked article 123?,"CREATE TABLE users (id INT, age INT, gender TEXT); INSERT INTO users (id, age, gender) VALUES (1, 25, 'Female'), (2, 35, 'Male'), (3, 45, 'Non-binary'); CREATE TABLE likes (user_id INT, article_id INT); INSERT INTO likes (user_id, article_id) VALUES (1, 123), (2, 123), (3, 456);",SELECT AVG(users.age) FROM users INNER JOIN likes ON users.id = likes.user_id WHERE likes.article_id = 123;,"Join the users and likes tables, filter for users who liked article 123, and calculate the average age."
5559,cannabis industry,"Cannabis production data, dispensary sales stats, regulatory compliance metrics, and social equity trends.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What are the top 5 states with the highest total cannabis sales revenue?,"CREATE TABLE States (state VARCHAR(255), revenue DECIMAL(10,2)); INSERT INTO States (state, revenue) VALUES ('CA', 1200000), ('CO', 800000), ('WA', 700000), ('OR', 600000), ('MI', 500000);","SELECT state, SUM(revenue) as total_revenue FROM States GROUP BY state ORDER BY total_revenue DESC LIMIT 5;","This query groups sales revenue by state, sums up the revenue for each state, and orders the results in descending order. The LIMIT clause is used to return only the top 5 states with the highest revenue."
5560,ethical fashion,"Extensive data on sustainable materials, fair labor practices, circular economy, and consumer awareness in ethical fashion.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",Which country has the highest number of fair-trade certified factories?,"CREATE TABLE factories (id INT, name VARCHAR(50), country VARCHAR(50), certified BOOLEAN);","SELECT country, COUNT(*) AS factory_count FROM factories WHERE certified = TRUE GROUP BY country ORDER BY factory_count DESC LIMIT 1;","Filter factories based on certification status, group them by country, and count the number of factories per country. Then, order the countries by the factory count in descending order and limit the results to the top country."
5561,transportation,"Transportation data on electric vehicle adoption, autonomous vehicles, public transportation systems, and multimodal mobility.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",data definition,"creating, altering, or dropping tables and other database objects",List all public transportation systems that serve a given location,"CREATE TABLE public_transportation (id INT PRIMARY KEY, name VARCHAR(255), location VARCHAR(255));","CREATE VIEW public_transportation_by_location AS SELECT location, GROUP_CONCAT(name) as transportation_systems FROM public_transportation GROUP BY location;",* Creates a view called public_transportation_by_location that contains a comma-separated list of all public transportation systems serving each location.
5562,agriculture,"Comprehensive data on agroecology, food justice, indigenous food systems, and urban agriculture.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",List all indigenous food systems in Europe that use permaculture farming methods.,"CREATE TABLE Indigenous_Food_Systems (System_ID INT, Country VARCHAR(20), Farming_Method VARCHAR(20)); INSERT INTO Indigenous_Food_Systems (System_ID, Country, Farming_Method) VALUES (1001, 'Spain', 'Permaculture'), (1002, 'France', 'Permaculture');","SELECT * FROM Indigenous_Food_Systems WHERE Country IN ('Spain', 'France') AND Farming_Method = 'Permaculture';",This query lists all indigenous food systems in Europe that use permaculture farming methods by selecting all columns from the Indigenous_Food_Systems table where Country is either Spain or France and Farming_Method is 'Permaculture'.
5563,healthcare,"Healthcare data on mental health parity, cultural competency, health equity metrics, and community health workers.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the minimum health equity metric score by gender?,"CREATE TABLE patients (patient_id INT, gender VARCHAR(10), health_equity_metric_score INT); INSERT INTO patients (patient_id, gender, health_equity_metric_score) VALUES (1, 'Female', 75), (2, 'Male', 80), (3, 'Female', 60), (4, 'Non-binary', 90), (5, 'Male', 70);","SELECT gender, MIN(health_equity_metric_score) FROM patients GROUP BY gender;",The SQL query calculates the minimum health equity metric score by gender by grouping the data based on gender and calculating the minimum health equity metric score for each group.
5564,technology,"Extensive data on ethical AI, technology for social good, digital divide, and technology accessibility.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",Which technology for social good projects have the highest budgets?,"CREATE TABLE social_good_projects (id INT, project_name TEXT, budget INT); INSERT INTO social_good_projects (id, project_name, budget) VALUES (1, 'Smart Energy Grids', 900000), (2, 'AI for Disaster Response', 700000), (3, 'Accessible Technology Initiative', 800000);","SELECT project_name, budget FROM social_good_projects ORDER BY budget DESC LIMIT 2;","This query identifies the two technology for social good projects with the highest budgets. It first creates a table named social_good_projects with the id, project_name, and budget columns. It then inserts sample data into this table. The query itself selects the project_name and budget columns from the social_good_projects table, sorts the results in descending order by the budget, and limits the output to the top two results."
5565,finance,"Financial data on Shariah-compliant finance, socially responsible lending, financial capability, and financial wellbeing.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",List all Shariah-compliant financial products with their descriptions.,"CREATE TABLE shariah_compliant_products (product_id INT, product_name TEXT, description TEXT);","SELECT product_name, description  FROM shariah_compliant_products;",This query simply selects the product_name and description columns from the shariah_compliant_products table.
5566,journalism,"News reporting data, audience demographics, media ethics information, and investigative journalism projects.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average word count for articles in the 'sports' category in the 'news_reporting' table?,"CREATE TABLE news_reporting (article_id INT, author VARCHAR(50), title VARCHAR(100), published_date DATE, category VARCHAR(30), word_count INT, author_gender VARCHAR(10)); INSERT INTO news_reporting (article_id, author, title, published_date, category, word_count, author_gender) VALUES (1, 'Aisha Jones', 'Article 7', '2021-01-07', 'Sports', 600, 'Female');",SELECT AVG(word_count) AS avg_word_count FROM news_reporting WHERE category = 'Sports';,This query calculates the average 'word_count' for articles in the 'sports' category from the 'news_reporting' table.
5567,food services,"Menu engineering, customer preferences, inventory management, and sustainability initiatives.",multiple_joins,"two or more joins (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",List the top 5 most preferred desserts among customers in the South region.,"CREATE TABLE orders (order_id INT, customer_id INT, order_date DATE, region VARCHAR(50)); CREATE TABLE order_details (order_id INT, menu_id INT, quantity_sold INT); CREATE TABLE menu (menu_id INT, menu_name VARCHAR(255), menu_category VARCHAR(50)); INSERT INTO orders (order_id, customer_id, order_date, region) VALUES (1, 1, '2022-01-01', 'South'), (2, 2, '2022-01-02', 'North'), (3, 3, '2022-01-03', 'South'); INSERT INTO order_details (order_id, menu_id, quantity_sold) VALUES (1, 1, 10), (1, 2, 5), (2, 2, 8), (2, 3, 12), (3, 4, 20); INSERT INTO menu (menu_id, menu_name, menu_category) VALUES (1, 'Chocolate Cake', 'Dessert'), (2, 'Cheese Cake', 'Dessert'), (3, 'Beef Burger', 'Main Course'), (4, 'Ice Cream', 'Dessert');","SELECT menu_name, SUM(quantity_sold) as total_quantity FROM order_details o JOIN orders ON o.order_id = orders.order_id JOIN menu m ON o.menu_id = m.menu_id WHERE region = 'South' AND menu_category = 'Dessert' GROUP BY menu_name ORDER BY total_quantity DESC LIMIT 5;","This query lists the top 5 most preferred desserts among customers in the South region by performing a join between order_details, orders, and menu tables, filtering for the South region and Dessert menu_category, and grouping by menu_name. It then orders the results by total_quantity in descending order and limits the results to 5."
